0	0	0	0	889	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	443	0	0	0	0	0	0	0	0	0
0	0	0	0	0	1021	532	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	721	0	0
0	0	0	0	0	812	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	81	423	369	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	845	0	0
0	0	0	0	0	0	0	0	0	0	639	0	289	0	0
0	0	0	0	0	0	0	0	0	0	0	0	192	0	0
0	0	0	0	0	0	0	0	0	0	0	0	345	0	0
0	0	0	0	0	0	0	0	0	0	0	904	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	295	0
0	0	0	0	0	0	0	0	0	0	0	0	0	548	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	805
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
